Total time (s),Time-O1 (s),Time-O2 (s),v1,v2,v3,v4,v5,v6,O1,O2
15.92199993,15.91999984,0.002000093,0.178243547,6.92918095,-3.032354449,9.942061843,0.994937157,10.08625747,1.291064875,-20.21389291
15.01699996,15.00999999,0.006999969,-1.521092023,6.845087995,2.806468494,0.015698606,0.737439075,7.613518185,1.140354059,-18.79632142
14.6099999,14.60800004,0.001999855,-0.610943173,11.92180616,1.210472942,4.069971152,0.89355701,5.594726127,1.136991855,-17.6423411
15.09200001,15.08999991,0.002000093,2.155457834,7.577335475,-0.335194672,6.65945497,1.628436225,4.646996734,1.26665369,-18.9722271
15.00200009,15,0.002000093,-3.073433571,4.873608832,1.320104842,8.760004444,-1.773533789,1.659006809,1.18706321,-21.21778152
14.98200011,14.97900009,0.003000021,1.712752022,2.092046328,-1.500433998,1.610191557,2.405828579,6.235659737,1.207448935,-19.99299482
15.71399999,15.71200013,0.001999855,-1.902898452,5.962063804,-2.155237733,3.301095593,-1.774229571,6.389031151,1.252399818,-4.886440714
14.74600005,14.74399996,0.002000093,-0.351202427,11.58863206,1.980619116,9.327236929,-2.931950423,6.868176353,1.260335584,-19.7899957
14.6400001,14.63800001,0.002000093,-2.683413131,8.538844964,0.884601231,10.22627798,-1.300593967,5.215886389,1.098017566,-19.6198306
14.86999989,14.86800003,0.001999855,1.429880973,0.243704727,-1.240754461,7.770809716,1.454293251,9.022952368,1.430579495,-20.85387693
14.85500002,14.85299993,0.002000093,2.729552164,5.928760685,-2.227684635,8.551921351,1.419590009,4.281495707,1.189018674,-19.82940743
14.91900015,14.91700006,0.002000093,1.476980348,4.86396404,-1.126667374,9.626327536,-2.243882079,6.048479492,1.080047688,-19.86033225
14.85000014,14.84700012,0.003000021,-3.032751554,5.370288442,-0.646142733,8.673237483,1.297588711,4.210375248,1.153818349,-18.88295519
15.53800011,15.53600001,0.002000093,-2.987064477,6.613184942,2.544393258,6.353361975,-2.953760843,4.93352749,1.320857544,-7.780918173
15.08700013,15.08500004,0.002000093,-0.600494384,1.612084929,-0.224254909,7.971426655,-1.242004672,7.184138475,1.315374512,-9.775653879
14.99000001,14.98800015,0.001999855,2.36723996,0.162753685,0.649689486,4.131098562,-0.179709312,0.691669781,1.416465028,-19.12980447
15.06299996,15.06100011,0.001999855,-2.026821483,0.424992182,-0.987112068,1.078425269,-0.860806091,1.539277773,1.344633347,-11.06698472
15.079,15.07599998,0.003000021,-2.977101325,0.820872315,-1.525786051,3.892838821,-1.938025829,0.644295526,1.242010113,-13.62342038
15.00200009,14.99900007,0.003000021,-2.500555941,3.321510333,2.139979627,5.38420071,-1.841443118,10.01549522,1.27407237,-18.84056146
14.90799999,14.9059999,0.002000093,0.436653114,10.96603288,-2.992310923,2.146074091,2.585639738,6.804973846,1.289088713,-21.67002809
14.93399978,14.93199992,0.001999855,0.436653114,10.96603288,-2.992310923,2.146074091,2.585639738,6.804973846,1.289088713,-21.67002809
15.046,15.04399991,0.002000093,-3.073433571,4.873608832,1.320104842,8.760004444,-1.773533789,1.659006809,1.18706321,-21.21778152
15.06100011,15.05900002,0.002000093,0.436653114,10.96603288,-2.966658574,2.062157172,2.057690352,6.804973846,1.27441986,-21.73633655
15.33200002,15.32999992,0.002000093,2.36723996,0.069452233,0.649689486,4.215015483,-0.179709312,0.197006424,1.411985535,-19.12291654
15.08299994,15.08100009,0.001999855,-2.92439394,4.873608832,1.320104842,8.760004444,1.022125958,1.852179799,1.296329499,-18.64837175
15.2750001,15.273,0.002000093,0.319765267,10.96603288,-2.966658574,2.062157172,-1.86012926,6.61182678,1.235406575,-21.8445659
15.23100019,15.22900009,0.002000093,1.168363611,5.101081114,-1.126667374,9.626327536,-2.255924725,6.048479492,1.094487142,-19.82319247
15.352,15.3499999,0.002000093,0.319765267,10.72881252,-2.966658574,2.704667584,-1.848086613,7.164003041,1.238754618,-21.50099902
15.36199999,15.36000013,0.001999855,-2.924987914,4.846501587,1.320104842,8.760004444,-1.773533789,1.701663898,1.187653561,-21.20354349
15.15900016,15.15700006,0.002000093,2.643978876,5.955867929,-2.227684635,8.551921351,0.627176147,4.238838701,1.34821378,-20.25925317
14.898,14.89599991,0.002000093,1.476980348,4.86396404,-1.126667374,9.626327536,-2.243882079,6.048479492,1.080047688,-19.86033225
15.27200007,15.26900005,0.003000021,-2.747719247,4.873608832,1.320104842,8.760004444,-0.853622646,1.659006809,1.19083591,-19.07448596
15.79200006,15.7900002,0.001999855,-3.073433571,4.873608832,1.320104842,8.760004444,2.291314508,1.659006809,1.254665097,-16.66730707
15.62800002,15.62600017,0.001999855,0.436653114,10.96603288,-3.019762238,2.062157172,-1.802763295,6.804973846,1.204531157,-21.66677783
15.32800007,15.32600021,0.001999855,0.508632866,11.92180616,1.083462142,4.069971152,0.89355701,6.806482443,1.230571672,-9.684745009
15.20799994,15.20600009,0.001999855,-0.620902205,10.96603288,-2.966658574,2.062157172,-1.697244222,5.599526255,1.200334158,-20.47477737
15.45799994,15.45599985,0.002000093,-2.924987914,5.458482395,1.320104842,8.760004444,-1.773533789,1.701663898,1.187652714,-21.20354349
15.19099998,15.18899989,0.002000093,0.319765267,10.96603288,-2.966658574,1.824163538,-1.715469341,6.61182678,1.211119742,-21.9426487
15.45899987,15.45700002,0.001999855,0.264296079,10.96603288,-2.966658574,1.824163538,-1.715469341,6.61182678,1.21981835,-21.97215851
15.32599998,15.32400012,0.001999855,-0.620902205,10.96603288,-2.966658574,2.062157172,-1.697244222,5.721449664,1.20067985,-20.47477737
15.25200009,15.25,0.002000093,1.476980348,4.872561457,-1.2543793,9.626327536,-0.779712901,6.048479492,1.106464106,-20.14953786
15.20000005,15.19799995,0.002000093,-2.747719247,4.865011415,1.44781666,8.760004444,-2.391545552,1.659006809,1.226365779,-20.09177947
15.13300014,15.13100004,0.002000093,0.067738679,10.96603288,-2.966658574,2.160916249,-1.715469341,6.61182678,1.24367541,-21.82617909
15.33699989,15.33400011,0.002999783,-3.073433571,4.873608832,1.209380544,8.830657406,-1.773533789,1.659006809,1.19415999,-21.18773159
14.86399984,14.86199999,0.001999855,1.476980348,4.86396404,-1.118215287,9.626327536,-2.243882079,6.048479492,1.079916412,-19.83836055
15.55500007,15.55299997,0.002000093,-0.610943173,11.92180616,1.65839212,4.069971152,0.217109884,5.594726127,1.224108093,-19.75528337
15.398,15.39600015,0.001999855,1.476980348,4.873972643,1.169781967,9.626327536,-1.784318593,4.830356225,1.092174171,-20.48160878
15.33399987,15.32499981,0.009000063,-3.073433571,4.863600229,-0.976344509,8.760004444,-2.317656708,1.659006809,1.259971614,-17.76649121
15.50399995,15.50300002,0.000999928,0.264296079,10.96603288,-2.966658574,8.779196848,-1.715469341,6.649907502,1.218991528,-20.09935886
15.2579999,15.25600004,0.001999855,-2.924987914,4.846501587,1.320104842,1.125177979,-1.773533789,1.701663898,1.276886247,-20.00256037
